name,reviews,price_level
1. Bubba Gump Shrimp Co.,"1,586 reviews",$$ - $$$
2. Maccheroni Republic,388 reviews,$$ - $$$
3. El Compadre,347 reviews,$$ - $$$
4. Langer's,854 reviews,$$ - $$$
5. Providence,812 reviews,$$$$
6. Water Grill - Los Angeles,909 reviews,$$$$
7. 71Above Restaurant and Skylounge,256 reviews,$$$$
8. Musso & Frank Grill,"1,335 reviews",$$$$
9. Perch,981 reviews,$$ - $$$
10. Republique,621 reviews,$$ - $$$
11. Baby Blues BBQ,372 reviews,$$ - $$$
12. Raffaello Ristorante,296 reviews,$$ - $$$
13. Bestia,646 reviews,$$$$
14. The Lobster,"2,251 reviews",$$$$
15. Yamashiro Hollywood,915 reviews,$$$$
16. Redbird,276 reviews,$$$$
17. High Rooftop Lounge,221 reviews,$$ - $$$
18. Brent's Deli Northridge,"1,562 reviews",$$ - $$$
19. Pampas Grill,331 reviews,$
20. The Little Door,309 reviews,$$$$
21. L'Antica Pizzeria Da Michele,95 reviews,$$ - $$$
22. The Butcher's Daughter,502 reviews,$$ - $$$
23. Park's BBQ,132 reviews,$$ - $$$
24. JW Steakhouse,226 reviews,$$$$
25. Golden Dragon Restaurant,101 reviews,$$ - $$$
26. Luv2Eat Thai Bistro,118 reviews,$
27. Carlitos Gardel,227 reviews,$$$$
28. Café Gratitude Venice,492 reviews,$$ - $$$
29. Gjelina,"1,265 reviews",$$ - $$$
30. 25 Degrees,899 reviews,$$ - $$$
